date,field,location,organizer,presenter,time,title
"Tuesday,  7 July 2015",S.W.E.A.T.,"Max Gluskin House, room 106",Michel Serafinelli,Jeff  Chan (University of Toronto),13:10-14:00,Any Port in a Storm: Import Competition and Match Quality Downgrading
"Wednesday,  8 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Junichi  Suzuki (University of Toronto)   Cancelled,12:00-13:00,TBA
"Tuesday, 14 July 2015",S.W.E.A.T.,(joint with Diego Escobar and Jose Tessada),"Gluskin House, room 106",Jeanne  Lafortune (PUC-Chile),13:00-14:00,"Men, women and capital: Estimating substitution patterns using a size and gender-dependent childcare policy in Chile"
"Wednesday, 15 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Natalie  Bau (University of Toronto),12:00-13:00,TBA
"Wednesday, 22 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Tanjim  Hossain (University of Toronto),12:00-13:00,TBA
"Thursday, 23 July 2015",S.W.E.A.T.,(joint with Jessie Handbury),"Gluskin House, room 106","Victor  Couture (University of California, Berkeley (Haas))",13:00-14:00,"Urban Revival in America, 2000-2010"
"Tuesday, 28 July 2015",S.W.E.A.T.,"Max Gluskin House, room 106",Laura Turner,Tammy  Schirle (Wilfred Laurier University),13:10-14:00,Gender and Canadian Labour Market Transitions
"Wednesday, 29 July 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Joanne  Oxley (University of Toronto),12:00-13:00,TBA
"Wednesday, 29 July 2015",Public economics,"Max Gluskin House, room 106",Robert McMillan,Peter  Bergman (Teachers College Columbia University),13:00-14:00,Parent-Child Information Frictions and Human Capital Investment: Evidence from a Field Experiment
"Tuesday,  4 August 2015",S.W.E.A.T.,(joint with Byoung Hoon Seok and Jingchao Li),"Gluskin House, room 106",Hye Mi You (SUNY Buffalo),13:10-14:10,"Migration Restrictions: Implications on Human Capital, Output, and Welfare"
"Wednesday,  5 August 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Andrew  Ching (University of Toronto),12:00-13:00,TBA
"Wednesday, 12 August 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Jonathan  Hall (University of Toronto),12:00-13:00,TBA
"Tuesday, 18 August 2015",S.W.E.A.T.,(joint with Pamela Campa),"Gluskin House, room 106",Michel  Serafinelli (University of Toronto),13:00-14:00,Politico-economic Regimes and Attitudes: Female Workers under State-socialism
"Wednesday, 26 August 2015",Industrial organization,"Max Gluskin House, room 106","Avi Goldfarb, Yao Luo, and Junichi Suzuki",Aloysius  Siow (University of Toronto),12:00-13:00,"Preliminary ideas on ""Reliability in the labor market"""
"Wednesday, 26 August 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,April  Franco (University of Toronto)   Cancelled,12:00-13:00,TBA
"Wednesday,  2 September 2015",Industrial organization,"Max Gluskin House, room 106",Avi Goldfarb and Yao Luo,Mitch  Hoffman (University of Toronto),12:00-13:00,TBA
"Tuesday, 15 September 2015",CEPA brown bag,"Max Gluskin House, room 106",Arthur Blouin and Gustavo Bobonis,Jose  Tessada (Pontificia Universidad Católica de Chile),1:10- 2:00,Are microfirms constrained by their lack of knowledge or motivation? Lessons from a randomized experiment in Chile
"Tuesday, 15 September 2015",Foundational models of human agency/Economic theory,"Rotman, room 157",Byung Soo Lee and Colin Stewart,Tai-Wei  Hu (Northwestern University),16:10-17:30,Learnability in Simple and Complex Environments
"Thursday, 17 September 2015",Macroeconomics,(joint with Ben Moll and Gianluca Violante),"Gluskin House, room 106",Greg  Kaplan (Princeton University),16:10-17:30,Monetary Policy According to HANK
"Friday, 18 September 2015",Empirical microeconomics (CEPA),(joint with Ufuk Akcigit and Salome Baslandze),"Gluskin House, room 100",Stefanie  Stantcheva (Harvard University),15:40-17:00,Taxation and the International Mobility of Inventors
"Monday, 21 September 2015",Empirical microeconomics (CEPA),"(joint with Hernán Barahona, Juan Pablo Montero)","College, 524 Wilson Hall",Francisco  Gallego (PUC-Chile),16:10-17:30,Adopting a cleaner technology: The effect of driving restrictions on fleet turnover
"Tuesday, 22 September 2015",Economic theory,(joint with Aniol Llorente-Saguer and Joseph McMurray),"Gluskin House, room 106","Helios  Herrera (HEC, Montreal)",16:10-17:30,The Marginal Voter's Curse
"Wednesday, 23 September 2015",Theory workshop,"Max Gluskin House, room 106",Colin Stewart,Maxim  Ivanov (McMaster University),12:30-13:30,Optimal Signals in Bayesian Persuasion Mechanisms with Ranking
"Wednesday, 23 September 2015",International trade,"Rotman, room 151",Kunal Dasgupta,Peter  Schott (Yale University),15:40-17:00,Trade Policy and the Structure of Supply Chains
"Wednesday, 23 September 2015",Financial economics,(joint with Björn Hagströmer),"Gluskin House, room 106",Albert  Menkveld (VU University Amsterdam),16:10-17:30,A Network Map of Information Percolation
"Thursday, 24 September 2015",Macroeconomics,"(joint with Loren Brandt, Jessica Leight, and Diego Restuccia)","Gluskin House, room 106",Tasso  Adamopoulos (York University),16:10-17:30,"Misallocation, Selection, and Productivity: A Quantitative Analysis with Panel Data from China"
"Friday, 25 September 2015",Empirical microeconomics (CEPA),"Max Gluskin House, room 106",Gustavo Bobonis and Michel Serafinelli,Lisa  Stockley (Toronto),15:40-17:00,TBA
"Monday, 28 September 2015",Empirical microeconomics (CEPA),(joint with Ilyana Kuziemko),"Centre, room 208N",Ebonya  Washington (Yale University),16:10-17:30,Why did the Democrats Lose the South?  Bringing New Data to an Old Debate
"Tuesday, 29 September 2015",CEPA brown bag,"(joint with Gordon Anderson, Thomas Fruehauf, Grazia Pittau and Roberto Zelli)","Gluskin House, room 106",Gordon  Anderson (University of Toronto),1:10- 2:00,Evaluating Progress Toward an Equal Opportunity Goal: Assessing the German Educational Reforms of the First Decade of the 21st Century.
"Wednesday, 30 September 2015",Urban and real estate economics/International trade,"Rotman, room 151",Marco Gonzalez-Navarro and Jonathan Hall,Jonathan  Dingel (University of Chicago (Booth)),16:10-17:30,Spatial and Social Frictions in the City: Evidence from Yelp
"Wednesday, 30 September 2015",Financial economics,"Max Gluskin House, room 106",Peter Cziraki,"Stephen  Lenkey (Pennsylvania State University, Smeal College of Business)",16:10-17:30,Informed Trading with a Short-Sale Prohibition
"Thursday,  1 October 2015",Macroeconomics,(joint with Roberto Fattal-Jaef),"Gluskin House, room 106",Paco  Buera (Federal Reserve Bank of Chicago),16:10-17:30,Dynamics after Reforms in a Model with Innovation
"Friday,  2 October 2015",Econometrics,(joint with Desire Kedagni (Penn State University)),"Gluskin House, room 106",Ismael  Mourifie (U of Toronto),14:00-15:30,Sharp Instrumental Inequalities: Testing IV independence assumption
"Friday,  2 October 2015",Empirical microeconomics (CEPA),"Max Gluskin House, room 106",Gustavo Bobonis and Michel Serafinelli,Alfia  Karimova (Toronto),15:40-17:00,Learning by doing: evidence from Ramadan exposure during pregnancy
"Monday,  5 October 2015",Empirical microeconomics (CEPA),"(joint with Uttara Balakrishnany, Johannes Haushofer)","Centre, room 108N",Pamela  Jakiela (U Maryland),16:10-17:30,How Soon Is Now? Evidence of Present Bias from Convex Time Budget Experiments
"Monday,  5 October 2015",Business economics/Industrial organization,(joint with Matthieu Parenti and Philip Ushchev),"south building, room LL1020",Jacques  Thisse (Université Catholique de Louvain),16:10-17:30,Toward a theory of monopolistic competition
"Tuesday,  6 October 2015",CEPA brown bag,"Max Gluskin House, room 106",Arthur Blouin,Jonathan  Hall (University of Toronto),1:10- 2:00,NA
"Tuesday,  6 October 2015",Economic theory,"Max Gluskin House, room 106",Colin Stewart,Geoffroy  de Clippel (Brown University)   Cancelled,16:10-17:30,TBA
"Wednesday,  7 October 2015",International trade,"Rotman, room 157",Kunal Dasgupta,Michelle  Liu (University of Toronto),16:15-17:30,TBA
"Thursday,  8 October 2015",Macroeconomics,(joint with Markus Poschke),"Gluskin House, room 106",Baris  Kaymak (University of Montreal),16:10-17:30,"The evolution of wealth inequality over half a century: the role of taxes, transfers and technology"
"Friday,  9 October 2015",Macroeconomics,"Max Gluskin House, room 106",Ronald Wolthoff,Assaf  Patir (The Hebrew University of Jerusalem),13:10-14:00,Synchronization and Bias in a Simple Macroeconomic Model
"Friday,  9 October 2015",Empirical microeconomics (CEPA),"Max Gluskin House, room 106",Kory Kroft and Michel Serafinelli,Graham  Beattie (University of Toronto),15:40-17:00,"Advertising, Media Capture, and Public Opinion: The Case of Climate Change"
"Tuesday, 13 October 2015",CEPA brown bag,"Max Gluskin House, room 106",Arthur Blouin and Gustavo Bobonis,Ayesha  Ali (University of Toronto),1:10- 2:00,N/A
"Tuesday, 13 October 2015",Foundational models of human agency/Economic theory,(joint with Ran Spiegler),room 157,Kfir  Eliaz (Tel Aviv University),16:10-17:30,Search Design and Broad Matching
"Wednesday, 14 October 2015",Junior faculty applied brown bag,"Max Gluskin House, room 100",Kory Kroft,John  Tang (Australian National University),13:10-14:00,The Engine and the Reaper: Industrialization and Mortality in Early Modern Japan
"Wednesday, 14 October 2015",International trade,"Rotman, room 151",Kunal Dasgupta,Eduardo  Morales (Princeton University),15:40-17:00,What do exporters know?
"Wednesday, 14 October 2015",Financial economics,"(joint with Murillo Campello, Janet Gao, and Yue Zhang)","Gluskin House, room 106","Jiaping  Qiu (McMaster University, DeGroote School of Business)",16:10-17:30,Organized Labor and the Cost of Debt: Evidence from Union Votes
"Thursday, 15 October 2015",Industrial organization/Business economics,"Max Gluskin House, room 106",Victor Aguirregabiria,Zhe  Yuan (University of Toronto),13:00-14:30,Network Competition in the Airline Industry: A Framework for Empirical Policy Analysis
"Thursday, 15 October 2015",Macroeconomics,"(joint with Fatih Karahan, Aysegul Sahin)","Gluskin House, room 106",Ben  Pugsley (Federal Reserve Bank of New York),14:40-16:00,Understanding the 30-year decline in the Startup Rate: a General Equilibrium Approach
"Thursday, 15 October 2015",Malim Harding Visitorship Lecture,"George Ignatieff Theater, Trinity College",Dwayne Benjamin and Nada Elmasarany,Jesse  Shapiro (Brown University),16:30-18:00,The Media and the State: Historical Evidence from US Newspapers
"Friday, 16 October 2015",Macroeconomics,"Max Gluskin House, room 106",Ronald Wolthoff,Stephen  Ayerst (University of Toronto),13:10-14:00,Policy Distortions and Technology Adoption
"Friday, 16 October 2015",Malim Harding Visitorship Lecture,(joint with Matthew Gentzkow),"Gluskin House, room 106",Jesse  Shapiro (Brown University),15:30-17:00,Measuring the sensitivity of parameter estimates to sample statistics
"Monday, 19 October 2015",Business economics/Industrial organization,(joint with Manolis Galenianos),"south building, room LL1030",Alessandro  Gavazza (LSE),12:00-13:30,A Quantitative Analysis of the Retail Market for Illicit Drugs
"Monday, 19 October 2015",Empirical microeconomics (CEPA),"Munk Centre, room 108N","Gustavo Bobonis, Shari Eli, and Yosh Halberstam",Andrea  Prat (Columbia U),16:10-17:30,CEO Behaviour and Firm Performance
"Tuesday, 20 October 2015",CEPA brown bag,"Max Gluskin House, room 106",Arthur Blouin and Gustavo Bobonis,Jessie  Lamontagne (University of Toronto),13:10-14:00,The impact of crime on the decision of firms: evidence from Mexico
"Tuesday, 20 October 2015",Economic theory/Foundational models of human agency,"(joint with Jimmy Chan, Yun Yang)","Gluskin House, room 106",Fei  Li (University of North Carolina at Chapel Hill),16:10-17:30,Discriminatory Persuasion: How to Convince Voters
"Wednesday, 21 October 2015",Financial economics,(joint with Jesse Davis and Naveen Gondhi),"Gluskin House, room 106","Snehal  Banerjee (UCSD, Rady School of Business)",16:10-17:30,"When transparency improves, must prices reflect fundamentals better?"
"Wednesday, 21 October 2015",International trade,"Rotman, room 151",Kunal Dasgupta,Jeffrey  Chan (University of Toronto),16:10-17:30,Any port in a storm: Import competition and match quality downgrading
"Thursday, 22 October 2015",Industrial organization/Business economics,"Max Gluskin House, room 106",Victor Aguirregabiria,Gerard  Llobet (CEMFI),13:10-14:30,The Licensing of Complementary Innovations under the Threat of  Litigation
"Thursday, 22 October 2015",Macroeconomics,"Max Gluskin House, room 106",Burhanettin Kuruscu and Diego Restuccia,Cesar  Sosa Padilla (McMaster University),16:10-17:30,Sovereign Defaults and Banking Crises
"Friday, 23 October 2015",Econometrics,"Max Gluskin House, room 106",Ismael Mourifié and Yuanyuan Wan,Qiao  Yang (University of Toronto),14:00-15:20,Stock Returns and Real Growth: A Bayesian Nonparametric Approach
"Friday, 23 October 2015",Empirical microeconomics (CEPA),"Max Gluskin House, room 106",Kory Kroft and Michel Serafinelli,Uros  Petronijevic (University of Toronto),15:40-17:00,School Competition and Teacher Productivity
"Monday, 26 October 2015",Empirical microeconomics (CEPA),(joint with David Yanagizawa-Drott),"College, 524 Wilson Hall",Filipe  Campante (Harvard University),16:10-17:30,The Intergenerational Transmission of War
"Monday, 26 October 2015",Business economics/Industrial organization,(joint with Christopher Gedge; Andrew Sweeting),room 157,James  Roberts (Duke),16:10-17:30,A Model of Dynamic Limit Pricing with an Application to the Airline Industry
"Tuesday, 27 October 2015",CEPA brown bag,"Max Gluskin House, room 106",Arthur Blouin,Nicolas  Gendron-Carrier (University of Toronto),13:10-14:00,The Local Impact of Containerization
"Tuesday, 27 October 2015",Foundational models of human agency/Economic theory,"Rotman, room 157",Colin Stewart and Gabor Virag,Huseyin  Yildirim (Duke University),16:10-17:30,TBA
"Wednesday, 28 October 2015",Junior faculty applied brown bag,"Max Gluskin House, room 106",Yosh Halberstam and Mitchell Hoffman,Leonardo  Bursztyn (UCLA - Anderson),13:10-14:00,TBD
"Wednesday, 28 October 2015",International trade,"Rotman, room 151",Kunal Dasgupta,Ridwan  Karim (University of Toronto),16:10-17:30,"Sectoral Volatility, Trade Partners and Development"
"Thursday, 29 October 2015",Industrial organization/Business economics,(joint with Jan De Loecker),"Gluskin House, room 106",Paul T. Scott (Toulouse School of Economics),13:10-14:30,Estimating Market Power: Evidence from the US Beer Industry
"Thursday, 29 October 2015",Macroeconomics,(joint with Greg Kaplan and Gianluca Violante),"Gluskin House, room 106",Kurt  Mitman (IIES Stockholm)   Cancelled,16:10-17:30,Consumption and House Prices in the Great Recession: Model Meets Evidence
"Friday, 30 October 2015",Macroeconomics,"Max Gluskin House, room 106",Serdar Ozkan,Hakki  Yazici (Sabanci and Carnegie Mellon Uni.)   Cancelled,1:10- 2:10,TBA
"Friday, 30 October 2015",Econometrics,(joint with Brantly Callaway),"Gluskin House, room 106",Tong  Li (Vanderbilt University),14:10-15:30,Quantile Treatment Effects in Difference in Differences Models with Panel Data
"Friday, 30 October 2015",Empirical microeconomics (CEPA),"(joint with Juan Pablo Rud, Gerhard Toews)","Gluskin House, room 106",Fernando  Aragon (Simon Fraser University),15:40-17:00,"Mining closure, gender and employment reallocations: the case of UK coal mines"
"Monday,  2 November 2015",Empirical microeconomics (CEPA),"Munk Centre, room 108N",Gustavo Bobonis and Michel Serafinelli,Joshua  Murphy (Toronto),16:10-17:30,The Health Effects of Long-Term Exposure to Air Pollution and the   Optimal Extent of Air Quality Regulation
"Monday,  2 November 2015",Business economics/Industrial organization,(joint with Huseyin Yildirim),room 157,Silvana  Krasteva (Texas A&M),16:10-17:30,Information Acquisition and Strategic Sequencing in Bilateral Trading: Is Ignorance Bliss?
"Tuesday,  3 November 2015",Economic theory/Foundational models of human agency,(joint with Johannes Horner),"Gluskin House, room 106",Yingni  Guo (Northwestern University),16:10-17:30,Dynamic Mechanisms without Money
"Wednesday,  4 November 2015",Junior faculty applied brown bag,"Max Gluskin House, room 106",Michel Serafinelli,Ruben  Durante (Sciences Po),13:05-13:55,Attack When the World Is Not Watching? International Media and the Israeli-Palestinian Conflict
"Wednesday,  4 November 2015",Financial economics,"Max Gluskin House, room 106",Peter Cziraki,David  Cimon (University of Toronto),16:10-17:30,Broker Routing Decisions in Limit Order Markets
